timestamp,rule.description,rule.level,data.srcip,data.srcport,full_log,GeoLocation.country_name,GeoLocation.city_name,GeoLocation.location
"Mar 13, 2025 @ 21:55:39.573","sshd: Attempt to login using a non-existent user","5","157.66.218.174","35538","Mar 13 21:55:38 regvision-wordpress sshd[31243]: Invalid user examen from 157.66.218.174 port 35538",,,
"Mar 13, 2025 @ 21:55:17.563","sshd: Attempt to login using a non-existent user","5","103.38.182.49","59738","Mar 13 21:55:15 regvision-wordpress sshd[31240]: Disconnected from invalid user lx 103.38.182.49 port 59738 [preauth]",,,
"Mar 13, 2025 @ 21:55:17.551","sshd: Attempt to login using a non-existent user","5","103.38.182.49",,"Mar 13 21:55:15 regvision-wordpress sshd[31240]: Failed password for invalid user lx from 103.38.182.49 port 59738 ssh2",,,
"Mar 13, 2025 @ 21:55:13.600","PAM: User login failed.","5","103.38.182.49",,"Mar 13 21:55:13 regvision-wordpress sshd[31240]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.38.182.49",,,
"Mar 13, 2025 @ 21:55:13.547","sshd: Attempt to login using a non-existent user","5","103.38.182.49","59738","Mar 13 21:55:13 regvision-wordpress sshd[31240]: Invalid user lx from 103.38.182.49 port 59738",,,
"Mar 13, 2025 @ 21:55:01.546","sshd: authentication failed.","5","187.87.144.226","40332","Mar 13 21:55:00 regvision-wordpress sshd[31236]: Failed password for root from 187.87.144.226 port 40332 ssh2","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:54:59.544","sshd: authentication failed.","5","178.128.201.36","43906","Mar 13 21:54:59 regvision-wordpress sshd[31238]: Failed password for root from 178.128.201.36 port 43906 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:54:59.544","PAM: User login failed.","5","187.87.144.226",,"Mar 13 21:54:58 regvision-wordpress sshd[31236]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.87.144.226  user=root","Brazil","São Paulo",{"lon":-46.6322,"lat":-23.63}
"Mar 13, 2025 @ 21:54:59.532","PAM: User login failed.","5","178.128.201.36",,"Mar 13 21:54:57 regvision-wordpress sshd[31238]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36  user=root","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 21:54:41.527","sshd: Attempt to login using a non-existent user","5","54.37.10.124",,"Mar 13 21:54:40 regvision-wordpress sshd[31234]: Failed password for invalid user test from 54.37.10.124 port 35544 ssh2","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:54:41.527","sshd: Attempt to login using a non-existent user","5","54.37.10.124","35544","Mar 13 21:54:40 regvision-wordpress sshd[31234]: Disconnected from invalid user test 54.37.10.124 port 35544 [preauth]","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:54:39.566","PAM: User login failed.","5","54.37.10.124",,"Mar 13 21:54:38 regvision-wordpress sshd[31234]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=54.37.10.124","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:54:39.513","sshd: Attempt to login using a non-existent user","5","54.37.10.124","35544","Mar 13 21:54:38 regvision-wordpress sshd[31234]: Invalid user test from 54.37.10.124 port 35544","France",,{"lon":2.3387,"lat":48.8582}
"Mar 13, 2025 @ 21:54:11.519","sshd: Attempt to login using a non-existent user","5","157.66.218.174",,"Mar 13 21:54:10 regvision-wordpress sshd[31232]: Failed password for invalid user max from 157.66.218.174 port 45190 ssh2",,,
"Mar 13, 2025 @ 21:54:11.519","sshd: Attempt to login using a non-existent user","5","157.66.218.174","45190","Mar 13 21:54:11 regvision-wordpress sshd[31232]: Disconnected from invalid user max 157.66.218.174 port 45190 [preauth]",,,
