timestamp,rule.description,rule.level,data.srcip,data.srcport,full_log,GeoLocation.country_name,GeoLocation.city_name,GeoLocation.location
"Mar 13, 2025 @ 17:16:45.362","sshd: authentication failed.","5","218.92.0.229","11360","Mar 13 17:16:43 regvision-wordpress sshd[25707]: Failed password for root from 218.92.0.229 port 11360 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:16:43.360","PAM: User login failed.","5","218.92.0.229",,"Mar 13 17:16:42 regvision-wordpress sshd[25707]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.229  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:16:41.351","sshd: Attempt to login using a non-existent user","5","64.227.183.217",,"Mar 13 17:16:40 regvision-wordpress sshd[25705]: Failed password for invalid user remote from 64.227.183.217 port 44612 ssh2","United States","Atlanta",{"lon":-84.3871,"lat":33.7485}
"Mar 13, 2025 @ 17:16:39.362","sshd: Attempt to login using a non-existent user","5","64.227.183.217","44612","Mar 13 17:16:38 regvision-wordpress sshd[25705]: Invalid user remote from 64.227.183.217 port 44612","United States","Atlanta",{"lon":-84.3871,"lat":33.7485}
"Mar 13, 2025 @ 17:16:39.361","PAM: User login failed.","5","64.227.183.217",,"Mar 13 17:16:38 regvision-wordpress sshd[25705]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=64.227.183.217","United States","Atlanta",{"lon":-84.3871,"lat":33.7485}
"Mar 13, 2025 @ 17:16:03.313","sshd: authentication failed.","5","14.63.221.137","56540","Mar 13 17:16:01 regvision-wordpress sshd[25692]: Failed password for root from 14.63.221.137 port 56540 ssh2","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:16:01.311","PAM: User login failed.","5","14.63.221.137",,"Mar 13 17:15:59 regvision-wordpress sshd[25692]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=14.63.221.137  user=root","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:15:57.320","syslog: User missed the password more than one time","10","218.92.0.229",,"Mar 13 17:15:57 regvision-wordpress sshd[25674]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.229  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:57.308","sshd: authentication failed.","5","218.92.0.229","64344","Mar 13 17:15:56 regvision-wordpress sshd[25674]: Failed password for root from 218.92.0.229 port 64344 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:55.320","sshd: authentication failed.","5","218.92.0.229","64344","Mar 13 17:15:54 regvision-wordpress sshd[25674]: Failed password for root from 218.92.0.229 port 64344 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:55.320","syslog: User missed the password more than one time","10","218.92.0.217",,"Mar 13 17:15:54 regvision-wordpress sshd[25672]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.217  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:55.307","sshd: authentication failed.","5","218.92.0.217","64486","Mar 13 17:15:53 regvision-wordpress sshd[25672]: Failed password for root from 218.92.0.217 port 64486 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:53.312","sshd: authentication failed.","5","218.92.0.217","64486","Mar 13 17:15:51 regvision-wordpress sshd[25672]: Failed password for root from 218.92.0.217 port 64486 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:53.311","sshd: authentication failed.","5","218.92.0.229","64344","Mar 13 17:15:52 regvision-wordpress sshd[25674]: Failed password for root from 218.92.0.229 port 64344 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:51.316","PAM: User login failed.","5","218.92.0.229",,"Mar 13 17:15:49 regvision-wordpress sshd[25674]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.229  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:51.316","sshd: insecure connection attempt (scan).","6","196.251.114.29","51824","Mar 13 17:15:50 regvision-wordpress sshd[25678]: Did not receive identification string from 196.251.114.29 port 51824","Seychelles",,{"lon":55.6667,"lat":-4.5833}
"Mar 13, 2025 @ 17:15:51.303","sshd: authentication failed.","5","176.28.201.236","45146","Mar 13 17:15:49 regvision-wordpress sshd[25675]: Failed password for root from 176.28.201.236 port 45146 ssh2","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:15:49.313","PAM: User login failed.","5","176.28.201.236",,"Mar 13 17:15:48 regvision-wordpress sshd[25675]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=176.28.201.236  user=root","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:15:49.313","sshd: authentication failed.","5","218.92.0.217","64486","Mar 13 17:15:49 regvision-wordpress sshd[25672]: Failed password for root from 218.92.0.217 port 64486 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:49.313","PAM: User login failed.","5","218.92.0.217",,"Mar 13 17:15:47 regvision-wordpress sshd[25672]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.217  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:45.309","syslog: User missed the password more than one time","10","218.92.0.217",,"Mar 13 17:15:45 regvision-wordpress sshd[25670]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.217  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:45.296","sshd: authentication failed.","5","218.92.0.217","53268","Mar 13 17:15:44 regvision-wordpress sshd[25670]: Failed password for root from 218.92.0.217 port 53268 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:43.306","sshd: authentication failed.","5","218.92.0.217","53268","Mar 13 17:15:43 regvision-wordpress sshd[25670]: Failed password for root from 218.92.0.217 port 53268 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:41.292","sshd: authentication failed.","5","218.92.0.217","53268","Mar 13 17:15:41 regvision-wordpress sshd[25670]: Failed password for root from 218.92.0.217 port 53268 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:39.303","PAM: User login failed.","5","218.92.0.217",,"Mar 13 17:15:39 regvision-wordpress sshd[25670]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.217  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:21.271","sshd: insecure connection attempt (scan).","6","62.60.188.24","49595","Mar 13 17:15:21 regvision-wordpress sshd[25669]: Did not receive identification string from 62.60.188.24 port 49595","Iran",,{"lon":51.4231,"lat":35.6961}
"Mar 13, 2025 @ 17:15:05.268","syslog: User missed the password more than one time","10","218.92.0.236",,"Mar 13 17:15:05 regvision-wordpress sshd[25667]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.236  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:05.256","sshd: authentication failed.","5","218.92.0.236","25402","Mar 13 17:15:04 regvision-wordpress sshd[25667]: Failed password for root from 218.92.0.236 port 25402 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:03.256","sshd: brute force trying to get access to the system. Authentication failed.","10","218.92.0.236","25402","Mar 13 17:15:02 regvision-wordpress sshd[25667]: Failed password for root from 218.92.0.236 port 25402 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:15:01.255","sshd: authentication failed.","5","218.92.0.236","25402","Mar 13 17:15:00 regvision-wordpress sshd[25667]: Failed password for root from 218.92.0.236 port 25402 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:59.266","PAM: User login failed.","5","218.92.0.236",,"Mar 13 17:14:58 regvision-wordpress sshd[25667]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.236  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:51.246","sshd: Attempt to login using a non-existent user","5","142.93.157.230",,"Mar 13 17:14:49 regvision-wordpress sshd[25665]: Failed password for invalid user ubuntu from 142.93.157.230 port 35388 ssh2","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 17:14:49.256","sshd: Attempt to login using a non-existent user","5","142.93.157.230","35388","Mar 13 17:14:47 regvision-wordpress sshd[25665]: Invalid user ubuntu from 142.93.157.230 port 35388","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 17:14:49.256","sshd: authentication failed.","5","14.63.221.137","60982","Mar 13 17:14:47 regvision-wordpress sshd[25662]: Failed password for root from 14.63.221.137 port 60982 ssh2","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:14:49.256","PAM: User login failed.","5","142.93.157.230",,"Mar 13 17:14:47 regvision-wordpress sshd[25665]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=142.93.157.230","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 17:14:47.241","PAM: User login failed.","5","14.63.221.137",,"Mar 13 17:14:45 regvision-wordpress sshd[25662]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=14.63.221.137  user=root","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:14:45.239","sshd: Attempt to login using a non-existent user","5","178.128.201.36",,"Mar 13 17:14:43 regvision-wordpress sshd[25657]: Failed password for invalid user ubuntuserver from 178.128.201.36 port 60506 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 17:14:43.249","PAM: User login failed.","5","178.128.201.36",,"Mar 13 17:14:41 regvision-wordpress sshd[25657]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 17:14:43.237","sshd: Attempt to login using a non-existent user","5","178.128.201.36","60506","Mar 13 17:14:41 regvision-wordpress sshd[25657]: Invalid user ubuntuserver from 178.128.201.36 port 60506","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 17:14:41.235","sshd: authentication failed.","5","176.28.201.236","36442","Mar 13 17:14:40 regvision-wordpress sshd[25658]: Failed password for root from 176.28.201.236 port 36442 ssh2","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:14:39.246","PAM: User login failed.","5","176.28.201.236",,"Mar 13 17:14:38 regvision-wordpress sshd[25658]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=176.28.201.236  user=root","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:14:39.246","sshd: authentication failed.","5","218.92.0.236","52224","Mar 13 17:14:38 regvision-wordpress sshd[25655]: Failed password for root from 218.92.0.236 port 52224 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:39.246","syslog: User missed the password more than one time","10","218.92.0.236",,"Mar 13 17:14:38 regvision-wordpress sshd[25655]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.236  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:37.232","sshd: authentication failed.","5","218.92.0.236","52224","Mar 13 17:14:36 regvision-wordpress sshd[25655]: Failed password for root from 218.92.0.236 port 52224 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:35.230","sshd: authentication failed.","5","218.92.0.236","52224","Mar 13 17:14:35 regvision-wordpress sshd[25655]: Failed password for root from 218.92.0.236 port 52224 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:33.228","PAM: User login failed.","5","218.92.0.236",,"Mar 13 17:14:32 regvision-wordpress sshd[25655]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.236  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:19.228","sshd: authentication failed.","5","218.92.0.236","35042","Mar 13 17:14:18 regvision-wordpress sshd[25650]: Failed password for root from 218.92.0.236 port 35042 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:19.228","syslog: User missed the password more than one time","10","218.92.0.236",,"Mar 13 17:14:18 regvision-wordpress sshd[25650]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.236  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:17.213","sshd: authentication failed.","5","218.92.0.236","35042","Mar 13 17:14:16 regvision-wordpress sshd[25650]: Failed password for root from 218.92.0.236 port 35042 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:15.211","sshd: authentication failed.","5","218.92.0.236","35042","Mar 13 17:14:14 regvision-wordpress sshd[25650]: Failed password for root from 218.92.0.236 port 35042 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:14:13.210","PAM: User login failed.","5","218.92.0.236",,"Mar 13 17:14:12 regvision-wordpress sshd[25650]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.236  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:13:41.181","sshd: Attempt to login using a non-existent user","5","64.227.78.79",,"Mar 13 17:13:39 regvision-wordpress sshd[25645]: Failed password for invalid user ftpuser from 64.227.78.79 port 52488 ssh2","United States","New York",{"lon":-74,"lat":40.7157}
"Mar 13, 2025 @ 17:13:39.191","sshd: Attempt to login using a non-existent user","5","64.227.78.79","52488","Mar 13 17:13:37 regvision-wordpress sshd[25645]: Invalid user ftpuser from 64.227.78.79 port 52488","United States","New York",{"lon":-74,"lat":40.7157}
"Mar 13, 2025 @ 17:13:39.191","PAM: User login failed.","5","64.227.78.79",,"Mar 13 17:13:37 regvision-wordpress sshd[25645]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=64.227.78.79","United States","New York",{"lon":-74,"lat":40.7157}
"Mar 13, 2025 @ 17:13:35.188","sshd: authentication failed.","5","14.63.221.137","37194","Mar 13 17:13:34 regvision-wordpress sshd[25641]: Failed password for root from 14.63.221.137 port 37194 ssh2","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:13:35.175","sshd: authentication failed.","5","176.28.201.236","42236","Mar 13 17:13:34 regvision-wordpress sshd[25643]: Failed password for root from 176.28.201.236 port 42236 ssh2","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:13:33.225","PAM: User login failed.","5","14.63.221.137",,"Mar 13 17:13:33 regvision-wordpress sshd[25641]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=14.63.221.137  user=root","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:13:33.173","PAM: User login failed.","5","176.28.201.236",,"Mar 13 17:13:32 regvision-wordpress sshd[25643]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=176.28.201.236  user=root","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:12:51.130","sshd: Attempt to login using a non-existent user","5","159.203.62.75",,"Mar 13 17:12:49 regvision-wordpress sshd[25638]: Failed password for invalid user user from 159.203.62.75 port 35566 ssh2","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 17:12:49.140","PAM: User login failed.","5","159.203.62.75",,"Mar 13 17:12:47 regvision-wordpress sshd[25638]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=159.203.62.75","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 17:12:49.140","sshd: Attempt to login using a non-existent user","5","159.203.62.75","35566","Mar 13 17:12:47 regvision-wordpress sshd[25638]: Invalid user user from 159.203.62.75 port 35566","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 17:12:47.138","sshd: Attempt to login using a non-existent user","5","175.203.245.102",,"Mar 13 17:12:46 regvision-wordpress sshd[25636]: Failed password for invalid user test from 175.203.245.102 port 35854 ssh2","South Korea",,{"lon":126.9741,"lat":37.5112}
"Mar 13, 2025 @ 17:12:45.136","PAM: User login failed.","5","175.203.245.102",,"Mar 13 17:12:43 regvision-wordpress sshd[25636]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=175.203.245.102","South Korea",,{"lon":126.9741,"lat":37.5112}
"Mar 13, 2025 @ 17:12:45.124","sshd: Attempt to login using a non-existent user","5","175.203.245.102","35854","Mar 13 17:12:43 regvision-wordpress sshd[25636]: Invalid user test from 175.203.245.102 port 35854","South Korea",,{"lon":126.9741,"lat":37.5112}
"Mar 13, 2025 @ 17:12:37.115","sshd: Attempt to login using a non-existent user","5","178.128.201.36",,"Mar 13 17:12:36 regvision-wordpress sshd[25633]: Failed password for invalid user oratest from 178.128.201.36 port 56238 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 17:12:35.125","PAM: User login failed.","5","178.128.201.36",,"Mar 13 17:12:33 regvision-wordpress sshd[25633]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 17:12:35.113","sshd: Attempt to login using a non-existent user","5","178.128.201.36","56238","Mar 13 17:12:33 regvision-wordpress sshd[25633]: Invalid user oratest from 178.128.201.36 port 56238","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 17:12:27.104","sshd: authentication failed.","5","176.28.201.236","35510","Mar 13 17:12:25 regvision-wordpress sshd[25631]: Failed password for root from 176.28.201.236 port 35510 ssh2","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:12:25.102","PAM: User login failed.","5","176.28.201.236",,"Mar 13 17:12:23 regvision-wordpress sshd[25631]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=176.28.201.236  user=root","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:12:23.102","sshd: authentication failed.","5","14.63.221.137","41638","Mar 13 17:12:21 regvision-wordpress sshd[25629]: Failed password for root from 14.63.221.137 port 41638 ssh2","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:12:21.100","PAM: User login failed.","5","14.63.221.137",,"Mar 13 17:12:19 regvision-wordpress sshd[25629]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=14.63.221.137  user=root","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:12:07.087","sshd: Attempt to login using a non-existent user","5","156.229.233.193",,"Mar 13 17:12:06 regvision-wordpress sshd[25625]: Failed password for invalid user admin from 156.229.233.193 port 56174 ssh2","United States",,{"lon":-97.822,"lat":37.751}
"Mar 13, 2025 @ 17:12:05.097","PAM: User login failed.","5","156.229.233.193",,"Mar 13 17:12:03 regvision-wordpress sshd[25625]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=156.229.233.193","United States",,{"lon":-97.822,"lat":37.751}
"Mar 13, 2025 @ 17:12:03.095","sshd: Attempt to login using a non-existent user","5","156.229.233.193","56174","Mar 13 17:12:02 regvision-wordpress sshd[25625]: Invalid user admin from 156.229.233.193 port 56174","United States",,{"lon":-97.822,"lat":37.751}
"Mar 13, 2025 @ 17:12:03.082","sshd: Attempt to login using a non-existent user","5","209.38.20.118",,"Mar 13 17:12:02 regvision-wordpress sshd[25626]: Failed password for invalid user btc from 209.38.20.118 port 51120 ssh2","United States",,{"lon":-97.822,"lat":37.751}
"Mar 13, 2025 @ 17:12:01.133","PAM: User login failed.","5","209.38.20.118",,"Mar 13 17:12:00 regvision-wordpress sshd[25626]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=209.38.20.118","United States",,{"lon":-97.822,"lat":37.751}
"Mar 13, 2025 @ 17:12:01.080","sshd: Attempt to login using a non-existent user","5","209.38.20.118","51120","Mar 13 17:12:00 regvision-wordpress sshd[25626]: Invalid user btc from 209.38.20.118 port 51120","United States",,{"lon":-97.822,"lat":37.751}
"Mar 13, 2025 @ 17:11:17.036","sshd: authentication failed.","5","176.28.201.236","36588","Mar 13 17:11:15 regvision-wordpress sshd[25622]: Failed password for root from 176.28.201.236 port 36588 ssh2","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:11:15.034","PAM: User login failed.","5","176.28.201.236",,"Mar 13 17:11:13 regvision-wordpress sshd[25622]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=176.28.201.236  user=root","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:11:03.023","sshd: authentication failed.","5","14.63.221.137","46080","Mar 13 17:11:02 regvision-wordpress sshd[25620]: Failed password for root from 14.63.221.137 port 46080 ssh2","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:11:01.021","PAM: User login failed.","5","14.63.221.137",,"Mar 13 17:11:00 regvision-wordpress sshd[25620]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=14.63.221.137  user=root","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:10:08.971","sshd: Attempt to login using a non-existent user","5","178.128.201.36",,"Mar 13 17:10:07 regvision-wordpress sshd[25602]: Failed password for invalid user furry from 178.128.201.36 port 46482 ssh2","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 17:10:06.967","sshd: authentication failed.","5","176.28.201.236","46462","Mar 13 17:10:06 regvision-wordpress sshd[25604]: Failed password for root from 176.28.201.236 port 46462 ssh2","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:10:05.018","PAM: User login failed.","5","178.128.201.36",,"Mar 13 17:10:04 regvision-wordpress sshd[25602]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=178.128.201.36","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 17:10:05.018","sshd: Attempt to login using a non-existent user","5","178.128.201.36","46482","Mar 13 17:10:04 regvision-wordpress sshd[25602]: Invalid user furry from 178.128.201.36 port 46482","Germany","Frankfurt am Main",{"lon":8.6843,"lat":50.1188}
"Mar 13, 2025 @ 17:10:04.965","PAM: User login failed.","5","176.28.201.236",,"Mar 13 17:10:03 regvision-wordpress sshd[25604]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=176.28.201.236  user=root","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:09:44.961","sshd: Attempt to login using a non-existent user","5","64.227.183.217",,"Mar 13 17:09:44 regvision-wordpress sshd[25588]: Failed password for invalid user remote from 64.227.183.217 port 55776 ssh2","United States","Atlanta",{"lon":-84.3871,"lat":33.7485}
"Mar 13, 2025 @ 17:09:44.949","sshd: authentication failed.","5","14.63.221.137","50520","Mar 13 17:09:43 regvision-wordpress sshd[25586]: Failed password for root from 14.63.221.137 port 50520 ssh2","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:09:42.959","sshd: Attempt to login using a non-existent user","5","64.227.183.217","55776","Mar 13 17:09:42 regvision-wordpress sshd[25588]: Invalid user remote from 64.227.183.217 port 55776","United States","Atlanta",{"lon":-84.3871,"lat":33.7485}
"Mar 13, 2025 @ 17:09:42.959","PAM: User login failed.","5","64.227.183.217",,"Mar 13 17:09:42 regvision-wordpress sshd[25588]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=64.227.183.217","United States","Atlanta",{"lon":-84.3871,"lat":33.7485}
"Mar 13, 2025 @ 17:09:42.947","PAM: User login failed.","5","14.63.221.137",,"Mar 13 17:09:41 regvision-wordpress sshd[25586]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=14.63.221.137  user=root","South Korea","Seoul",{"lon":126.9783,"lat":37.5985}
"Mar 13, 2025 @ 17:09:22.928","sshd: Attempt to login using a non-existent user","5","142.93.157.230",,"Mar 13 17:09:22 regvision-wordpress sshd[25584]: Failed password for invalid user ubuntu from 142.93.157.230 port 37684 ssh2","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 17:09:20.979","PAM: User login failed.","5","142.93.157.230",,"Mar 13 17:09:20 regvision-wordpress sshd[25584]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=142.93.157.230","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 17:09:20.926","sshd: Attempt to login using a non-existent user","5","142.93.157.230","37684","Mar 13 17:09:19 regvision-wordpress sshd[25584]: Invalid user ubuntu from 142.93.157.230 port 37684","Canada","Toronto",{"lon":-79.3623,"lat":43.6547}
"Mar 13, 2025 @ 17:09:12.920","sshd: authentication failed.","5","218.92.0.135","38104","Mar 13 17:09:11 regvision-wordpress sshd[25548]: Failed password for root from 218.92.0.135 port 38104 ssh2","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:09:10.920","PAM: User login failed.","5","218.92.0.135",,"Mar 13 17:09:09 regvision-wordpress sshd[25548]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.92.0.135  user=root","China",,{"lon":118.7778,"lat":32.0617}
"Mar 13, 2025 @ 17:08:52.901","sshd: authentication failed.","5","176.28.201.236","56738","Mar 13 17:08:52 regvision-wordpress sshd[25541]: Failed password for root from 176.28.201.236 port 56738 ssh2","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
"Mar 13, 2025 @ 17:08:50.899","PAM: User login failed.","5","176.28.201.236",,"Mar 13 17:08:50 regvision-wordpress sshd[25541]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=176.28.201.236  user=root","Hashemite Kingdom of Jordan","Amman",{"lon":35.939,"lat":31.9522}
